"X9010.Mai.Po.Nature.Interpreters.x" "X9020.EO.Team.x" "X9040.Jebsen.Eagles.x" "X9050.All.Stars.x" "X9060.Mai.Po.Team.x" "X9070.Kerry.Cranes.x" "X9080.Swire.Birdbrains.x" "X9090.The.Professionals.x" "X9100.Deadset.Drongos.x" "X9110.Sparrows.x" "X9120.CUMSL" "X9210.Taiwan.Mikado.Pheasant" "X9310.EEI.Korea" "X9410.Macau.Aves.Society" "X9510..Magic.Scops.Owl" "X9610.Taiwan.Tit.x" "X9010.Mai.Po.Nature.Interpreters.y" "X9020.EO.Team.y" "X9040.Jebsen.Eagles.y" "X9050.All.Stars.y" "X9060.Mai.Po.Team.y" "X9070.Kerry.Cranes.y" "X9080.Swire.Birdbrains.y" "X9090.The.Professionals.y" "X9100.Deadset.Drongos.y" "X9110.Sparrows.y" "X9130.BUBI.HKBU." "X9140.HKUST.Fire.Bird" "X9150.TAB2.CityU" "X9160.AEC.Team" "X9210..Taiwan.Mikado.Pheasant" "X9510.施華中大飛羽隊" "X9610.Taiwan.Tit.y"
"Chinese.Penduline-Tit" 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 1 1 0 0 1 0 0 0 1 1
"Chinese.Pond.Heron" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"Chinese.Spot-billed.Duck" 0 0 1 0 1 1 1 1 1 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"Cinereous.Tit" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"Cinnamon.Bittern" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Citrine.Wagtail" 1 1 0 0 1 1 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 1 1
"Collared.Crow" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"Collared.Scops.Owl" 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 0 1 0 0 1 1 1 0 1 1
"Common.Blackbird" 1 0 0 1 1 1 1 1 1 1 1 1 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1
"Common.Emerald.Dove" 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 1 0 0 0 1 0 0 0 0 0 0
"Common.Greenshank" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"Common.Kestrel" 1 1 0 0 0 0 1 0 0 1 0 1 0 1 1 0 0 0 0 1 0 0 0 0 0 1 0 1 0 1 0 1 1
"Common.Kingfisher" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"Common.Moorhen" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"Common.Myna" 1 0 1 1 0 0 1 1 1 1 1 1 0 0 0 0 1 1 1 1 1 1 1 0 1 1 0 1 1 1 1 1 1
"Common.Pochard" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Common.Redshank" 0 1 1 0 1 1 1 1 1 1 0 1 0 0 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"Common.Reed.Bunting" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Common.Rosefinch" 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"Common.Sandpiper" 1 1 1 1 1 1 1 1 1 1 1 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"Common.Shelduck" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Common.Snipe" 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 0 1 0 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
"Common.Starling" 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0
